product_id,product_name,jumlah_penjualan,harga,diskon,status
P00001,Produk 1,57,26556,25,Tidak
P00002,Produk 2,140,84196,5,Laris
P00003,Produk 3,71,46868,25,Tidak
P00004,Produk 4,279,42790,20,Laris
P00005,Produk 5,216,28331,0,Laris
P00006,Produk 6,47,77314,5,Tidak
P00007,Produk 7,258,177815,0,Laris
P00008,Produk 8,287,72124,25,Laris
P00009,Produk 9,279,129974,5,Laris
P00010,Produk 10,229,174472,10,Laris
P00011,Produk 11,3,61853,25,Tidak
P00012,Produk 12,216,109194,10,Laris
P00013,Produk 13,79,76443,30,Tidak
P00014,Produk 14,172,46793,0,Laris
P00015,Produk 15,194,45353,10,Laris
P00016,Produk 16,176,178263,10,Laris
P00017,Produk 17,22,140435,20,Tidak
P00018,Produk 18,63,119230,0,Tidak
P00019,Produk 19,282,96854,30,Laris
P00020,Produk 20,185,171349,5,Laris
P00021,Produk 21,35,32012,25,Tidak
P00022,Produk 22,116,95861,0,Laris
P00023,Produk 23,119,46476,15,Laris
P00024,Produk 24,142,138858,25,Laris
P00025,Produk 25,186,62638,10,Laris
P00026,Produk 26,181,74921,25,Laris
P00027,Produk 27,136,199187,25,Laris
P00028,Produk 28,36,179680,25,Tidak
P00029,Produk 29,87,160021,25,Laris
P00030,Produk 30,125,62834,15,Laris
P00031,Produk 31,194,90765,25,Laris
P00032,Produk 32,285,77570,25,Laris
P00033,Produk 33,166,34663,5,Laris
P00034,Produk 34,16,102694,15,Tidak
P00035,Produk 35,137,37350,5,Laris
P00036,Produk 36,290,102490,5,Laris
P00037,Produk 37,255,123712,25,Laris
P00038,Produk 38,234,57452,10,Laris
P00039,Produk 39,71,84651,25,Tidak
P00040,Produk 40,287,161289,10,Laris
P00041,Produk 41,299,132311,20,Laris
P00042,Produk 42,204,114895,5,Laris
P00043,Produk 43,70,153569,15,Tidak
P00044,Produk 44,46,32351,30,Tidak
P00045,Produk 45,56,60066,25,Tidak
P00046,Produk 46,81,198384,15,Laris
P00047,Produk 47,32,120864,15,Tidak
P00048,Produk 48,239,158704,10,Laris
P00049,Produk 49,283,23009,25,Laris
P00050,Produk 50,58,198706,20,Tidak
P00051,Produk 51,136,188024,10,Laris
P00052,Produk 52,57,96939,15,Tidak
P00053,Produk 53,80,138940,0,Tidak
P00054,Produk 54,134,151225,30,Laris
P00055,Produk 55,91,153085,0,Laris
P00056,Produk 56,152,187496,20,Laris
P00057,Produk 57,101,60065,10,Laris
P00058,Produk 58,82,161394,30,Laris
P00059,Produk 59,271,20149,20,Laris
P00060,Produk 60,165,148085,0,Laris
P00061,Produk 61,57,115153,30,Tidak
P00062,Produk 62,157,82770,0,Laris
P00063,Produk 63,123,168729,0,Laris
P00064,Produk 64,43,147399,30,Tidak
P00065,Produk 65,35,159645,30,Tidak
P00066,Produk 66,64,53657,25,Tidak
P00067,Produk 67,243,164127,5,Laris
P00068,Produk 68,135,158326,30,Laris
P00069,Produk 69,216,75521,20,Laris
P00070,Produk 70,102,101714,15,Laris
P00071,Produk 71,191,134845,20,Laris
P00072,Produk 72,231,51720,5,Laris
P00073,Produk 73,115,36784,10,Laris
P00074,Produk 74,10,174221,20,Tidak
P00075,Produk 75,117,174256,5,Laris
P00076,Produk 76,3,38610,25,Tidak
P00077,Produk 77,30,80015,0,Tidak
P00078,Produk 78,16,106619,0,Tidak
P00079,Produk 79,263,82391,10,Laris
P00080,Produk 80,248,76160,20,Laris
P00081,Produk 81,67,169695,20,Tidak
P00082,Produk 82,242,83700,30,Laris
P00083,Produk 83,242,126708,5,Laris
P00084,Produk 84,48,45409,25,Tidak
P00085,Produk 85,220,112876,15,Laris
P00086,Produk 86,210,142427,30,Laris
P00087,Produk 87,27,196518,25,Tidak
P00088,Produk 88,50,35889,15,Tidak
P00089,Produk 89,173,48644,5,Laris
P00090,Produk 90,98,69862,20,Laris
P00091,Produk 91,229,56747,15,Laris
P00092,Produk 92,93,93018,15,Laris
P00093,Produk 93,127,39761,15,Laris
P00094,Produk 94,281,45666,0,Laris
P00095,Produk 95,276,23868,0,Laris
P00096,Produk 96,121,63597,15,Laris
P00097,Produk 97,248,146185,5,Laris
P00098,Produk 98,205,35370,5,Laris
P00099,Produk 99,194,20565,15,Laris
P00100,Produk 100,135,139277,10,Laris
P00101,Produk 101,216,165691,25,Laris
P00102,Produk 102,249,60579,5,Laris
P00103,Produk 103,151,77068,0,Laris
P00104,Produk 104,296,162133,0,Laris
P00105,Produk 105,160,34985,0,Laris
P00106,Produk 106,299,144987,20,Laris
P00107,Produk 107,271,61270,0,Laris
P00108,Produk 108,260,41000,30,Laris
P00109,Produk 109,95,37962,20,Laris
P00110,Produk 110,34,197002,30,Tidak
P00111,Produk 111,120,125847,0,Laris
P00112,Produk 112,291,84543,20,Laris
P00113,Produk 113,20,182367,0,Tidak
P00114,Produk 114,214,192326,20,Laris
P00115,Produk 115,289,157044,10,Laris
P00116,Produk 116,133,73545,25,Laris
P00117,Produk 117,160,82570,10,Laris
P00118,Produk 118,202,54308,25,Laris
P00119,Produk 119,153,139858,10,Laris
P00120,Produk 120,37,22441,15,Tidak
P00121,Produk 121,288,46209,0,Laris
P00122,Produk 122,275,75877,20,Laris
P00123,Produk 123,135,54722,10,Laris
P00124,Produk 124,35,84037,10,Tidak
